query_id,k,rel_score
6,16,1.9375
6,32,1.71875
6,64,1.546875
6,128,1.390625
6,256,1.20703125
6,512,0.982421875
6,1024,0.6923828125
27,16,1.9375
27,32,1.84375
27,64,1.71875
27,128,1.5859375
27,256,1.27734375
27,512,0.91015625
27,1024,0.578125
37,16,1.25
37,32,1.28125
37,64,1.15625
37,128,0.8984375
37,256,0.89453125
37,512,0.748046875
37,1024,0.505859375
3,16,1.875
3,32,1.84375
3,64,1.515625
3,128,1.2578125
3,256,0.84375
3,512,0.552734375
3,1024,0.3798828125
49,16,1.75
49,32,1.65625
49,64,1.421875
49,128,1.0703125
49,256,0.8359375
49,512,0.533203125
49,1024,0.30078125
43,16,1.625
43,32,1.75
43,64,1.609375
43,128,1.140625
43,256,0.7890625
43,512,0.486328125
43,1024,0.2705078125
2,16,2.0
2,32,1.96875
2,64,1.890625
2,128,1.8359375
2,256,1.4921875
2,512,0.92578125
2,1024,0.494140625
